房屋编号,城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼层,电梯,车位,用水,用电,燃气,供暖
房源编号：BJ2530260448625311744,北京,顺义,顺义城,石园南区,65㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566818071948312576,北京,朝阳,欢乐谷,世纪东方城,15㎡,合租,西北卧,4660,季付价,2居,室 ,15,随时入住,1年,随时可看,11,21层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2530447005680148480,北京,朝阳,东坝,金隅悦和园,61㎡,整租,东,4200,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,28层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566682250410467328,北京,朝阳,西坝河,西坝河北里202号院,15㎡,合租,北卧,3660,季付价,2居,室 ,15,随时入住,1年,随时可看,2,7层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566138304613318656,北京,朝阳,南沙滩,中和家园,13㎡,合租,北卧,3430,季付价,3居,室 ,13,随时入住,1年,随时可看,4,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566377027989422080,北京,朝阳,潘家园,华威西里,15㎡,合租,南卧,2730,季付价,3居,室 ,15,随时入住,1年,随时可看,2,11层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2537616340236648448,北京,海淀,海淀北部新区,正源尚峰尚水,66㎡,整租,北,4500,季付价,3房,间1,卫 ,随时入住,3年以上,需提前预约,高楼层,10层,有,租用车位,商水,商电,有,自采暖
房源编号：BJ2566377026152316928,北京,朝阳,潘家园,华威西里,9㎡,合租,东卧,2360,季付价,3居,室 ,9㎡,随时入住,1年,随时可看,2,11层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2539153178629513216,北京,大兴,南中轴机场商务区,蓝桥驿苑,56㎡,整租,南,2200,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,14层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2566744502295871488,北京,朝阳,安贞,仟村商务大厦,16㎡,合租,北卧,2800,季付价,3居,室 ,16,随时入住,1年,需提前预约,6,16层,有,暂无数据,民水,商电,有,集中供暖
房源编号：BJ2540352416327942144,北京,门头沟,滨河西区,月季园东里,57㎡,整租,东/西,2500,半年付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566744502077767680,北京,朝阳,安贞,仟村商务大厦,19㎡,合租,南卧,3200,季付价,3居,室 ,19,随时入住,1年,需提前预约,6,16层,有,暂无数据,民水,商电,有,集中供暖
房源编号：BJ2530447005680148480,北京,朝阳,东坝,金隅悦和园,61㎡,整租,东,4200,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,28层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2533129777343373312,北京,大兴,观音寺,观音寺南里,89㎡,整租,南/北,3100,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2514252071767908352,北京,朝阳,双桥,双桥五号井,53㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2513803060619788288,北京,顺义,马坡,恒华湖公馆,58㎡,整租,南,2400,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,12层,有,暂无数据,暂无数据,暂无数据,无,自采暖
房源编号：BJ2514417474414854144,北京,房山,良乡,观山源墅,92㎡,整租,南/北,2500,季付价,3室,2厅,2卫,随时入住,3年以内,需提前预约,低楼层,8层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566744502430089216,北京,朝阳,安贞,仟村商务大厦,25㎡,合租,南卧,3500,季付价,3居,室 ,25,随时入住,1年,需提前预约,6,16层,有,暂无数据,民水,商电,有,集中供暖
房源编号：BJ2514455525341528064,北京,丰台,卢沟桥,晓月苑一里,69㎡,整租,南/北,3800,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566672522946805760,北京,朝阳,和平里,和平街十一区,30㎡,合租,南卧,3300,季付价,3居,室 ,30,随时入住,1年,随时可看,4,4层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2549081322589265920,北京,房山,良乡,花园巷小区,72㎡,整租,南/北,2500,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2550497505528266752,北京,顺义,顺义城,港馨家园西区,85㎡,整租,南/北,2700,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2541444255902343168,北京,朝阳,东坝,康静里,61㎡,整租,南/北,3800,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2535326591375392768,北京,海淀,海淀北部新区,三嘉信苑,65㎡,整租,东南,3500,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,9层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2536032023630856192,北京,朝阳,东坝,东泽园,58㎡,整租,南,4200,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2550694788693770240,北京,亦庄开发区,亦庄开发区其它,泰河园一里一区,60㎡,整租,南,3000,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,12层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2551449851745271808,北京,朝阳,百子湾,观音景园一期,57㎡,整租,南,4050,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2566741841924071424,北京,朝阳,朝青,青年汇佳园,10㎡,合租,北卧,4430,季付价,3居,室 ,10,随时入住,1年,随时可看,12,18层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2552125334724018176,北京,亦庄开发区,亦庄开发区其它,南海雅苑北区,74㎡,整租,东/西,3600,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2566530269251649536,北京,亦庄开发区,亦庄,听涛雅苑,14㎡,合租,东卧,3490,季付价,3居,室 ,14,随时入住,1年,随时可看,1,8层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2552934558555447296,北京,亦庄开发区,亦庄开发区其它,泰河园一里一区,61㎡,整租,南,3300,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,11层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566726253130825728,北京,西城,阜成门,阜成门北大街,20㎡,合租,东卧,3400,季付价,3居,室 ,20,随时入住,1年以上,随时可看,7,13层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2553730018065268736,北京,顺义,顺义城,石园北区,77㎡,整租,南/北,2800,季付价,1室,2厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566730165535113216,北京,西城,阜成门,阜成门北大街,16㎡,合租,东卧,3000,季付价,3居,室 ,16,2020-07-30,1年以上,随时可看,7,13层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566738393618980864,北京,朝阳,安贞,小黄庄前街13号院,12㎡,合租,北卧,2300,季付价,4居,室 ,12,随时入住,3~12个月,随时可看,3,6层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2566560550557319168,北京,朝阳,双井,苹果社区南区,9㎡,合租,西卧,3590,季付价,3居,室 ,9㎡,随时入住,1年,随时可看,1,27层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554097761427660800,北京,顺义,顺义城,港馨家园东区,75㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566560698306142208,北京,朝阳,双井,苹果社区南区,14㎡,合租,南卧,3490,季付价,3居,室 ,14,随时入住,1年,随时可看,1,27层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2534094486221627392,北京,朝阳,东坝,康静里,58㎡,整租,南/北,4000,半年付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566651210757046272,北京,顺义,顺义城,广厦鑫苑,7㎡,合租,北卧,1730,季付价,3居,室 ,7㎡,随时入住,1年,随时可看,5,18层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2534561005686759424,北京,大兴,观音寺,观音寺南里,59㎡,整租,东,2500,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566728433488887808,北京,大兴,枣园,那尔水晶城,11㎡,合租,北卧,1990,季付价,3居,室 ,11,随时入住,1年,随时可看,1,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2544053485696196608,北京,朝阳,东坝,朝阳新城二区,63㎡,整租,西,4500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2544208144003760128,北京,房山,长阳,碧桂园小区二区,69㎡,整租,南/北,2500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2545597977217736704,北京,顺义,顺义城,石园北区,70㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2546310573093044224,北京,石景山,石景山其它,燕山水泥厂,54㎡,整租,南,2900,NULL,2室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,暂无数据,有,集中供暖
房源编号：BJ2531189428433993728,北京,朝阳,首都机场,南平里,58㎡,整租,南/北,3700,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566817618954551296,北京,海淀,西三旗,新康园,13㎡,合租,南卧,2990,季付价,3居,室 ,13,随时入住,1年,随时可看,16,24层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2528932498381996032,北京,朝阳,东坝,东泽园,75㎡,整租,南,4200,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,18层,有,租用车位,民水,民电,有,自采暖
房源编号：BJ2564755347827073024,北京,朝阳,首都机场,南平里,68㎡,整租,未知,4460,季付价,2室,1厅,1卫,随时入住,1年,随时可看,2,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2528987003572461568,北京,丰台,西红门,西宏苑,58㎡,整租,南/北,3200,NULL,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,11层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2517342918969131008,北京,大兴,大兴其它,新城嘉园,79㎡,整租,南/北,2100,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,11层,有,免费使用,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2530260448625311744,北京,顺义,顺义城,石园南区,65㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2518706470422315008,北京,朝阳,东坝,东泽园,75㎡,整租,南/北,4300,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,20层,有,暂无数据,民水,民电,有,自采暖
房源编号：BJ2518907309325811712,北京,丰台,卢沟桥,卢沟桥南里,62㎡,整租,南,3000,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2559502880504037376,北京,大兴,西红门,金华园,68㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559986738298888192,北京,顺义,顺义城,滨河小区,60㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566628294095011840,北京,西城,马甸,裕中西里,18㎡,合租,东南卧,3100,季付价,3居,室 ,18,随时入住,1年,需提前预约,7,20层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2557835248108830720,北京,亦庄开发区,亦庄开发区其它,泰河园三里,56㎡,整租,南/北,3100,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,5层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566123567607447552,北京,丰台,刘家窑,石榴园北里小区,8㎡,合租,北卧,3190,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,8,18层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2547767052874563584,北京,亦庄开发区,马驹桥,宏仁家园,89㎡,整租,南/北,3300,NULL,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566123632149397504,北京,丰台,赵公口,彩虹城一区,11㎡,合租,北卧,2890,季付价,2居,室 ,11,随时入住,1年,随时可看,2,22层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2559932357192712192,北京,石景山,城子,天翠阳光新城,56㎡,整租,南/北,2900,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,16层,有,免费使用,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2566500586656899072,北京,丰台,赵公口,彩虹城一区,12㎡,合租,南卧,2730,季付价,3居,室 ,12,随时入住,1年,随时可看,20,22层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566500592520265728,北京,丰台,赵公口,彩虹城一区,11㎡,合租,北卧,2390,季付价,3居,室 ,11,随时入住,1年,随时可看,20,22层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566500590985691136,北京,丰台,赵公口,彩虹城一区,17㎡,合租,南卧,2860,季付价,3居,室 ,17,随时入住,1年,随时可看,20,22层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2530260448625311744,北京,顺义,顺义城,石园南区,65㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566641877449179136,北京,东城,东直门,海运仓小区,13㎡,合租,南卧,2800,季付价,4居,室 ,13,随时入住,1年,随时可看,5,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559502880504037376,北京,大兴,西红门,金华园,68㎡,整租,南/北,3000,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,低楼层,5层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566641874907430912,北京,东城,东直门,海运仓小区,18㎡,合租,南卧,3300,季付价,4居,室 ,18,随时入住,1年,随时可看,5,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2542752006696091648,北京,顺义,顺义城,仓上小区,64㎡,整租,南/北,2500,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566641876770242560,北京,东城,东直门,海运仓小区,10㎡,合租,北卧,2600,季付价,4居,室 ,10,随时入住,1年,随时可看,5,7层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2545597977217736704,北京,顺义,顺义城,石园北区,70㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,暂无数据,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2501999725331619840,北京,朝阳,首都机场,东平里,58㎡,整租,南/北,2700,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2504312676856381440,北京,房山,良乡,北潞芳家园,85㎡,整租,南/北,2300,季付价,2室,2厅,1卫,随时入住,1年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2505720995533832192,北京,顺义,首都机场,南竺园,72㎡,整租,南/北,2900,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2559986738298888192,北京,顺义,顺义城,滨河小区,60㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566653806914052096,北京,东城,东直门,海运仓小区,25㎡,合租,南卧,3200,季付价,5居,室 ,25,随时入住,3~12个月,随时可看,6,7层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2550497505528266752,北京,顺义,顺义城,港馨家园西区,85㎡,整租,南/北,2700,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566673852272738304,北京,东城,东直门,海运仓小区,10㎡,合租,东卧,2300,季付价,3居,室 ,10,随时入住,1年,只能周末看房,2,9层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2551449851745271808,北京,朝阳,百子湾,观音景园一期,57㎡,整租,南,4050,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,自采暖
房源编号：BJ2552125334724018176,北京,亦庄开发区,亦庄开发区其它,南海雅苑北区,74㎡,整租,东/西,3600,季付价,2室,1厅,1卫,随时入住,1年以内,需提前预约,中楼层,22层,无,暂无数据,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2543352895487877120,北京,亦庄开发区,马驹桥,宏仁家园,90㎡,整租,南,3300,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2543465664534806528,北京,顺义,顺义城,滨河小区,57㎡,整租,南/北,2600,季付价,1室,1厅,1卫,随时入住,1年以内,需提前预约,高楼层,4层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2543289081174441984,北京,丰台,卢沟桥,晓月苑一里,73㎡,整租,南/北,3500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2527454442849042432,北京,丰台,五里店,南五里店45号院,55㎡,整租,南/北,3200,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2501212012945096704,北京,朝阳,朝阳其它,绿丰家园,59㎡,整租,南/北,3500,季付价,1室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,自采暖
房源编号：BJ2566673882589167616,北京,东城,东直门,海运仓小区,16㎡,合租,西卧,3200,季付价,3居,室 ,16,随时入住,1年,只能周末看房,2,9层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2501941428809375744,北京,朝阳,首都机场,南平里,57㎡,整租,南/北,2300,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566005829937397760,北京,朝阳,惠新西街,千鹤家园,18㎡,合租,东南卧,3100,季付价,4居,室 ,18,随时入住,1年,需提前预约,16,25层,有,暂无数据,民水,民电,无,集中供暖
房源编号：BJ2503654641812905984,北京,顺义,顺义其它,鼎顺嘉园,56㎡,整租,南/北,2500,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,地下室,0层,无,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2566005829794791424,北京,朝阳,惠新西街,千鹤家园,20㎡,合租,南卧,3500,季付价,4居,室 ,20,随时入住,1年,需提前预约,16,25层,有,暂无数据,民水,民电,无,集中供暖
房源编号：BJ2517342918969131008,北京,大兴,大兴其它,新城嘉园,79㎡,整租,南/北,2100,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,11层,有,免费使用,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2061695273876324352,北京,丰台,草桥,玺萌丽苑,28㎡,整租,北,4330,季付价,1室,1厅,1卫,随时入住,1年,随时可看,5,23层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566668358254592000,北京,海淀,二里庄,二里庄北里,8㎡,合租,北卧,2400,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566666332011495424,北京,海淀,二里庄,二里庄北里,16㎡,合租,南卧,2900,季付价,3居,室 ,16,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2429740479047270400,北京,顺义,马坡,恒华安纳湖,88㎡,整租,南/北,2800,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,16层,有,免费使用,民水,民电,有,自采暖
房源编号：BJ2566472922696777728,北京,通州,马驹桥,珠江逸景,13㎡,合租,东卧,2530,季付价,3居,室 ,13,随时入住,1年,随时可看,13,14层,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2449843137800585216,北京,朝阳,东坝,红松园小区,72㎡,整租,南/北,4400,季付价,3室,1厅,1卫,随时入住,2年以内,需提前预约,高楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566664363742339072,北京,东城,东直门,北官厅胡同2号院,12㎡,合租,北卧,2200,季付价,5居,室 ,12,随时入住,1年,随时可看,2,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2550753994406363136,北京,朝阳,首都机场,东平里,59㎡,整租,南/北,3800,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2565819721639804928,北京,海淀,学院路,双清路14号院,20㎡,合租,东卧,2800,季付价,4居,室 ,20,随时入住,1年,随时可看,6,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2550694788693770240,北京,亦庄开发区,亦庄开发区其它,泰河园一里一区,60㎡,整租,南,3000,季付价,1室,1厅,1卫,随时入住,3年以上,需提前预约,低楼层,12层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2552831011205685248,北京,石景山,苹果园,广宁村,60㎡,整租,东南/西北,3500,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2552934558555447296,北京,亦庄开发区,亦庄开发区其它,泰河园一里一区,61㎡,整租,南,3300,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,11层,有,免费使用,民水,民电,有,集中供暖
房源编号：BJ2553391657857064960,北京,亦庄开发区,马驹桥,新海北里,72㎡,整租,南/北,3300,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2553505783443111936,北京,顺义,顺义城,港馨家园东区,74㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2565442685234053120,北京,朝阳,首都机场,南平里,9㎡,合租,北卧,1630,季付价,2居,室 ,9㎡,随时入住,1年,随时可看,3,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2553648648399355904,北京,顺义,顺义城,仁和花园二区,90㎡,整租,南/北,3000,NULL,2室,1厅,1卫,2020-07-31,暂无数据,需提前预约,低楼层,18层,有,暂无数据,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2565761533850157056,北京,海淀,西直门,交大东路4号院,8㎡,合租,北卧,2990,季付价,3居,室 ,8㎡,随时入住,1年,随时可看,11,16层,有,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2554097761427660800,北京,顺义,顺义城,港馨家园东区,75㎡,整租,南/北,2600,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,中楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2555138674644238336,北京,朝阳,东坝,金隅景和园,61㎡,整租,南,4500,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,21层,有,租用车位,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2555610577967775744,北京,朝阳,首都机场,东平里,58㎡,整租,南/北,2900,季付价,2室,1厅,1卫,随时入住,3年以内,需提前预约,高楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2558426045758324736,北京,海淀,海淀北部新区,凯盛家园,60㎡,整租,东/南,4200,季付价,1室,1厅,1卫,2020-08-03,2年以内,只能周末看房,高楼层,15层,有,租用车位,民水,民电,有,集中供暖
房源编号：BJ2558549292654526464,北京,朝阳,双桥,双桥五号井,53㎡,整租,南,3200,季付价,2室,1厅,1卫,随时入住,3年以上,需提前预约,中楼层,4层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559243665704747008,北京,朝阳,首都机场,南平里,77㎡,整租,南/北,4200,NULL,3室,1厅,1卫,随时入住,暂无数据,需提前预约,中楼层,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558778839413301248,北京,丰台,卢沟桥,卢沟桥南里,60㎡,整租,南/北,4000,季付价,2室,1厅,1卫,随时入住,2年以内,需提前预约,低楼层,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566153250202198016,北京,朝阳,北苑,北京青年城,7㎡,合租,北卧,2630,季付价,3居,室 ,7㎡,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2559932357192712192,北京,石景山,城子,天翠阳光新城,56㎡,整租,南/北,2900,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,16层,有,免费使用,暂无数据,暂无数据,有,集中供暖
房源编号：BJ2566658919711637504,北京,海淀,西直门,铁道科学研究院,30㎡,合租,南卧,3000,季付价,4居,室 ,30,随时入住,1年,随时可看,4,6层,无,暂无数据,民水,民电,有,暂无数据
房源编号：BJ2557859972868751360,北京,顺义,顺义城,仁和花园一区,63㎡,整租,南,2800,季付价,1室,1厅,2卫,随时入住,3年以上,需提前预约,高楼层,13层,有,免费使用,暂无数据,暂无数据,暂无数据,暂无数据
房源编号：BJ2566711328882294784,北京,通州,潞苑,华龙小区,10㎡,合租,北卧,1860,季付价,3居,室 ,10,随时入住,1年,随时可看,6,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2558778315812896768,北京,顺义,顺义城,石园北区,71㎡,整租,南/北,2400,季付价,1室,1厅,1卫,随时入住,3年以内,需提前预约,低楼层,6层,无,免费使用,民水,民电,有,集中供暖
房源编号：BJ2566683487662768128,北京,朝阳,亚运村,慧忠里,18㎡,合租,南卧,2600,季付价,4居,室 ,18,随时入住,6~7个月,需提前预约,2,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2566012879380168704,北京,朝阳,亚运村,慧忠里,20㎡,合租,南卧,3200,季付价,3居,室 ,20,随时入住,1年,需提前预约,2,6层,无,暂无数据,民水,民电,有,集中供暖
房源编号：BJ2566682394409582592,北京,朝阳,亚运村,观巢,10㎡,合租,南卧,3330,季付价,3居,室 ,10,随时入住,1年,随时可看,5,6层,无,租用车位,民水,民电,有,集中供暖
房源编号：BJ2546892677140447232,北京,大兴,枣园,双河北里尚城,62㎡,整租,南/北,2900,半年付价,1室,1厅,1卫,2020-07-27,3年以内,需提前预约,中楼层,18层,有,暂无数据,暂无数据,暂无数据,有,集中供暖
