城市,区,方位,房屋名,大小,租赁方式,朝向,月租,计费方式,几室,几厅,几卫,入住,租期,看房,所在楼层,总楼高,电梯,车位,用水,用电,燃气,供暖
6,1,88,1340,18,1,1,1350,3,1,0,1,2,12,3,3,3,0,0,0,0,0,0
6,8,6,1532,64,1,2,7700,0,2,1,1,2,0,3,3,24,2,0,1,1,2,2
6,8,144,68,37,1,2,4760,0,1,1,1,2,0,3,3,6,1,0,1,1,2,0
6,8,129,345,47,1,2,5400,0,2,1,1,2,0,3,3,6,1,0,1,1,2,0
6,8,6,720,40,1,2,6300,0,1,1,1,2,0,3,2,5,2,0,1,1,1,0
6,8,31,229,66,1,2,4730,0,2,1,1,2,0,3,1,6,1,0,0,0,2,2
6,13,86,694,9,1,1,3130,1,4,1,2,2,12,3,3,24,0,0,0,0,0,0
6,11,39,881,36,1,2,3300,3,1,1,1,2,12,3,2,8,2,0,1,1,2,0
6,15,112,1483,46,1,1,6800,5,1,1,1,2,36,3,2,22,2,2,1,1,2,2
6,1,45,1011,51,1,2,5900,0,1,1,1,2,0,3,3,28,2,0,1,1,2,2
6,15,112,447,25,1,2,4200,1,1,0,1,2,12,2,3,4,1,0,1,1,2,2
6,16,97,731,14,1,2,3600,3,4,1,2,2,12,3,1,28,2,0,1,1,2,0
6,2,103,1258,86,1,2,4800,0,2,2,1,2,0,3,2,6,1,0,1,1,1,0
6,1,121,761,88,1,2,9800,0,2,2,1,2,0,3,3,33,2,0,0,0,2,0
6,1,121,974,99,1,2,9300,0,2,2,1,2,0,3,1,8,2,0,1,1,1,0
6,17,69,984,23,1,2,1480,3,1,1,1,2,24,3,2,18,1,1,1,1,2,1
6,2,89,100,62,1,2,4700,0,2,1,1,2,0,3,3,6,1,0,1,1,2,0
6,10,70,934,55,1,2,3700,0,1,1,1,2,0,3,2,11,2,0,1,1,1,0
6,1,2,1363,23,1,2,1500,3,3,0,1,2,12,3,1,12,2,0,1,1,2,0
6,2,103,1576,80,1,2,5300,0,3,1,1,2,0,3,3,6,1,0,1,1,2,0
6,2,36,1587,15,1,2,1850,3,5,1,5,2,24,2,2,6,1,2,1,1,1,0
6,7,124,366,10,1,3,2530,1,4,1,2,2,12,3,3,24,2,0,1,1,2,0
6,14,163,1545,6,1,4,1730,1,3,1,1,2,12,3,3,31,1,0,1,1,2,0
6,1,135,308,18,1,2,2300,1,3,1,1,2,12,3,3,16,2,0,1,1,2,0
6,15,115,272,46,1,2,6500,1,1,1,1,2,24,2,3,7,1,0,1,1,2,2
6,8,128,214,53,1,2,3700,0,2,0,1,2,0,5,1,6,1,0,1,1,1,0
6,8,83,1515,63,1,2,3800,0,2,1,2,1,0,2,3,6,1,0,1,1,1,0
6,11,33,463,28,1,2,2380,1,5,1,2,2,12,3,1,6,0,2,0,0,0,0
6,11,39,881,32,1,2,3300,3,1,1,1,2,12,3,3,5,2,0,1,1,2,0
6,8,6,1401,37,1,2,3900,1,1,0,1,1,36,5,3,6,1,0,1,1,1,0
6,8,42,104,32,1,2,4300,1,1,1,1,1,36,2,2,6,1,0,1,1,2,0
6,1,121,457,9,1,4,1630,3,3,1,1,2,12,3,2,6,0,0,1,1,0,0
6,14,163,977,28,1,2,2450,3,1,1,1,2,12,3,3,2,1,2,1,1,1,2
6,10,70,520,89,1,2,6200,0,3,2,1,2,0,3,2,18,2,0,1,1,2,2
6,8,129,388,63,1,2,5400,0,2,1,1,2,0,3,2,6,1,0,1,1,1,0
6,8,56,1517,59,1,2,4800,0,2,1,1,2,0,3,3,6,1,0,1,1,2,0
6,16,1,1513,55,1,2,7300,1,2,1,1,2,12,2,2,7,1,0,1,1,1,0
3,8,144,449,42,1,2,5460,0,1,1,1,2,0,3,3,18,2,0,1,1,2,2
6,15,76,4,45,1,8,6800,3,1,1,1,2,12,3,2,29,2,2,1,1,1,1
6,16,97,1414,60,1,2,10500,0,2,1,1,2,0,3,2,3,1,0,1,1,1,0
6,8,19,1341,20,1,2,2800,3,2,1,2,2,12,3,2,30,2,2,1,1,2,2
3,2,113,948,17,1,2,1700,3,3,1,1,2,12,3,1,18,2,2,1,1,2,0
6,8,6,284,67,1,2,6500,0,1,2,1,2,0,3,3,18,2,0,1,1,2,0
6,8,31,1031,70,1,2,4890,0,2,1,1,2,0,3,1,6,1,0,1,1,2,2
6,8,129,342,39,1,2,4760,0,1,1,1,2,0,3,3,7,1,0,1,1,1,0
6,8,83,41,114,1,2,6030,0,4,1,2,2,0,3,3,6,1,0,1,1,1,0
6,11,30,330,20,1,2,2000,3,4,1,1,2,12,3,3,6,1,2,1,1,1,0
3,1,135,838,38,1,2,3600,0,1,0,1,2,0,3,1,6,1,0,1,1,1,0
6,1,136,718,52,1,2,5600,0,1,1,1,2,0,3,2,6,1,0,1,1,2,2
6,8,129,741,77,1,2,7680,0,2,2,1,2,0,3,3,6,1,0,1,1,1,0
6,8,6,1269,65,1,2,7688,0,1,2,1,2,0,3,2,26,2,0,1,1,2,0
6,8,144,939,87,1,2,10800,0,2,2,1,2,0,3,2,17,2,0,1,1,1,0
6,1,121,28,76,1,2,5300,0,2,2,1,0,0,3,3,6,1,0,1,1,1,0
6,8,19,1056,21,1,2,2600,3,2,1,2,2,12,3,2,20,2,2,1,1,2,2
3,1,88,484,12,1,8,1500,1,4,1,1,1,12,3,1,16,1,2,2,2,1,2
6,2,113,295,28,1,2,1800,3,3,1,1,2,12,3,2,6,1,2,1,1,1,0
6,1,121,577,48,1,2,5700,0,2,1,1,2,0,3,2,6,1,0,1,1,1,0
6,1,136,1492,78,1,2,5600,0,2,1,1,2,0,3,3,6,1,0,1,1,1,0
6,1,41,381,39,1,2,4800,0,1,1,1,2,0,3,3,6,1,0,1,1,1,0
6,8,6,901,89,1,2,8990,0,2,2,1,2,0,3,1,18,2,0,1,1,1,0
6,8,6,1279,69,1,3,7400,0,2,1,1,2,0,3,2,24,2,0,1,1,1,0
6,16,26,268,69,1,2,8000,1,2,1,1,2,12,3,3,18,2,0,1,1,2,0
3,16,164,580,40,1,8,4500,5,1,1,1,2,12,3,3,7,1,2,1,1,1,2
6,1,41,1040,30,1,2,4400,0,1,1,1,2,0,3,3,6,1,0,1,1,1,0
6,1,121,577,57,1,2,5800,0,2,1,1,2,0,3,3,6,1,0,1,1,1,0
6,2,103,945,46,1,2,3500,0,1,1,1,2,0,3,1,6,1,0,1,1,1,0
6,2,75,204,70,1,2,4000,0,2,1,1,2,0,3,3,6,1,0,1,1,1,0
6,15,112,1448,40,1,2,5500,1,1,1,1,2,36,2,3,7,2,0,1,1,2,2
6,11,102,1296,33,1,2,3000,0,1,0,1,2,0,2,2,6,1,0,1,1,1,0
6,11,39,881,36,1,2,2680,3,1,1,1,2,12,3,2,8,2,0,1,1,2,0
6,11,74,1053,36,1,2,3300,0,1,1,1,1,0,2,2,6,1,0,1,1,1,0
3,8,129,2,47,1,2,4000,0,1,1,1,1,0,2,3,6,1,0,1,1,1,0
6,2,113,1310,15,1,2,1050,3,2,1,1,2,12,3,2,6,1,0,1,1,1,0
6,6,67,1027,44,1,2,1100,0,1,1,1,2,0,2,1,5,1,0,1,1,1,0
6,1,2,804,15,1,2,1600,3,3,1,1,2,12,3,2,16,2,2,1,1,1,0
6,8,31,1325,43,1,2,4200,1,1,1,1,2,24,2,2,6,1,0,1,1,1,0
6,8,31,1315,40,1,2,3200,0,1,1,1,2,0,5,2,6,1,0,1,1,1,0
6,16,26,455,46,1,2,6600,1,1,1,1,2,24,2,1,26,2,0,1,1,2,0
6,8,148,1451,46,1,2,3400,0,1,1,1,2,0,2,2,6,1,0,0,0,1,0
6,16,157,1070,32,1,2,4600,1,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,8,31,1379,35,1,1,3500,4,1,1,1,2,36,3,2,6,1,0,1,1,1,2
6,8,31,1325,37,1,2,3000,0,1,1,1,2,0,2,2,6,1,0,1,1,1,0
6,16,26,162,14,1,1,2990,1,3,1,1,2,12,3,1,26,2,0,1,1,2,0
3,1,79,1574,28,1,2,2300,0,1,0,1,2,0,2,3,5,1,0,1,1,1,0
3,8,42,297,12,1,2,3190,1,3,1,1,2,12,3,1,29,2,0,1,1,2,0
3,7,162,17,12,1,2,2430,1,2,1,1,2,12,3,3,6,1,0,1,1,2,0
3,16,43,1484,65,1,2,9800,3,1,1,1,2,12,3,2,3,1,0,1,1,2,0
3,16,1,438,55,1,2,9000,0,2,1,1,2,0,5,2,7,1,0,1,1,1,0
3,8,6,480,37,1,6,4850,0,1,1,1,2,0,3,1,7,1,0,1,1,1,0
3,16,164,1131,76,1,3,8200,1,2,1,1,1,24,2,2,25,2,0,1,1,1,0
3,16,1,258,61,1,2,6800,0,2,1,1,1,0,2,2,7,1,0,1,1,1,0
3,8,119,1277,13,1,3,4190,1,4,1,2,2,12,3,1,27,2,0,1,1,2,0
3,8,31,1267,17,1,2,2100,1,4,1,1,2,12,3,1,6,1,2,1,1,2,0
3,12,23,1274,21,1,2,1350,3,1,0,1,2,12,3,1,4,1,0,2,2,1,0
3,15,112,357,35,1,2,4200,1,1,1,1,2,0,2,3,7,1,0,1,1,2,0
3,8,31,1031,51,1,2,3500,0,1,1,1,2,0,2,3,6,1,0,1,1,2,2
3,16,9,1283,78,1,2,7500,1,2,1,1,2,24,2,1,24,2,0,1,1,2,2
3,16,1,1047,56,1,6,7000,1,1,1,1,2,12,2,1,27,2,0,1,1,1,0
3,16,137,509,34,1,2,5000,1,1,1,1,1,12,2,3,7,2,0,1,1,1,0
3,8,127,1050,20,1,3,3500,1,1,0,1,2,24,2,2,3,1,0,1,1,1,0
3,16,1,438,35,1,2,5000,0,1,0,1,2,0,5,3,7,1,0,1,1,1,0
3,8,6,1321,55,1,2,8500,0,1,1,1,2,0,3,1,27,2,0,1,1,2,2
3,2,36,1529,8,1,2,1600,3,4,2,3,2,36,3,2,7,2,0,1,1,1,0
3,14,11,1217,31,1,2,1600,0,1,0,0,1,0,2,-1,1,1,0,0,0,2,2
3,3,77,1144,8,1,2,2560,1,3,1,1,2,12,3,2,16,2,0,1,1,2,0
3,3,77,1202,16,1,2,2930,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
3,11,142,1424,37,1,2,1200,0,1,0,0,2,0,2,-1,1,1,0,0,0,1,0
3,8,6,588,23,1,2,2900,3,3,1,2,2,12,3,3,33,2,1,1,1,2,1
3,8,6,588,25,1,2,3000,3,4,1,3,2,12,3,2,30,2,2,1,1,2,0
3,8,31,1315,41,1,2,3000,0,1,0,1,1,0,2,2,6,1,0,1,1,1,0
3,16,1,333,89,1,2,9500,1,2,1,1,2,24,2,1,30,2,0,1,1,1,0
3,16,156,926,90,1,2,9000,1,2,2,1,2,12,3,1,24,2,0,1,1,2,0
3,8,6,1235,38,1,2,4500,1,1,0,1,2,24,3,2,6,1,0,1,1,1,0
3,15,76,760,49,1,2,6500,1,1,1,1,2,36,2,2,25,2,0,1,1,2,0
3,1,134,919,9,1,4,1460,1,3,1,1,2,12,3,3,6,0,0,0,0,0,0
3,15,115,174,45,1,1,4600,1,1,1,1,2,12,2,3,2,1,0,1,1,2,1
3,8,83,41,67,1,2,3400,0,2,1,1,2,0,2,1,6,1,0,1,1,1,0
3,8,31,818,32,1,2,4190,1,1,1,1,2,12,3,3,6,1,0,1,1,2,0
3,2,116,21,54,1,2,1900,0,1,1,1,2,0,2,2,18,2,0,1,1,1,0
3,15,112,89,29,1,4,4400,1,1,0,1,2,24,2,2,4,1,0,1,1,2,0
3,16,132,1509,47,1,2,7200,1,2,0,1,1,36,2,3,4,1,0,1,1,1,0
3,11,39,881,36,1,2,3300,3,1,1,1,2,12,3,2,8,2,0,1,1,2,0
3,8,56,1116,33,1,2,2700,0,1,0,1,1,0,2,3,6,1,0,1,1,1,0
3,2,96,184,17,1,1,1800,3,5,0,2,2,12,3,3,6,1,0,1,1,1,0
3,2,103,1489,68,1,2,4800,0,2,1,1,2,0,3,3,6,1,0,1,1,1,0
3,15,76,1242,22,1,2,4800,1,1,1,1,2,24,2,2,4,1,0,1,1,1,0
3,2,126,1209,75,1,2,7200,0,2,2,1,2,0,3,1,6,1,0,1,1,1,0
3,2,75,1389,117,1,2,8600,0,3,2,2,2,0,3,2,17,2,0,1,1,1,0
3,1,145,573,60,1,2,1800,3,2,1,1,2,12,2,3,6,1,0,1,1,1,0
3,6,67,493,74,1,2,1400,0,1,1,1,2,0,2,1,5,1,0,1,1,1,0
3,8,6,696,34,1,2,4300,1,1,1,1,2,36,2,2,6,1,2,1,1,2,2
3,1,88,677,10,1,4,1200,3,5,0,1,2,12,3,3,18,0,0,0,0,0,0
3,3,77,1541,57,1,2,1950,0,3,0,1,2,0,2,3,6,1,0,1,1,2,0
3,8,83,651,40,1,2,3800,0,1,1,1,2,0,2,1,6,1,0,1,1,1,0
3,16,164,1025,99,1,2,8000,1,2,2,1,2,36,2,3,7,1,0,1,1,1,0
3,8,99,1558,47,1,2,4500,1,1,1,1,2,12,2,3,6,1,0,1,1,1,0
3,1,88,809,20,1,2,2050,3,4,0,1,2,12,3,1,18,0,0,0,0,0,0
3,8,83,1146,62,1,2,4500,0,2,1,1,2,0,2,3,29,2,0,1,1,2,0
3,16,157,7,68,1,2,6900,1,2,1,1,2,24,2,1,29,2,0,1,1,2,0
3,8,129,363,25,1,2,2600,3,3,1,1,2,12,3,2,25,2,2,1,1,2,0
3,8,129,1143,48,1,6,4200,0,1,1,1,1,0,2,3,6,1,0,1,1,1,0
3,8,19,1341,27,1,2,2700,3,3,0,3,2,12,3,1,34,2,0,1,1,2,0
3,16,1,93,29,1,2,5000,1,1,0,1,2,12,2,1,6,1,0,1,1,1,0
3,8,6,696,34,1,2,4300,0,1,0,1,2,0,2,2,6,1,0,1,1,2,2
3,16,157,658,32,1,2,5000,1,1,0,1,2,36,2,3,6,1,0,1,1,1,0
3,2,103,1435,39,1,2,4000,0,1,1,1,2,0,3,3,6,1,0,1,1,1,0
3,1,134,40,20,1,2,1890,1,4,1,2,2,12,3,2,13,2,0,1,1,2,0
3,15,76,46,55,1,2,5700,1,2,1,1,2,12,2,3,5,1,0,1,1,1,0
3,10,151,317,8,1,4,1288,3,3,2,2,2,12,3,2,18,2,0,1,1,2,0
3,11,142,144,10,1,2,2180,3,4,2,2,2,12,3,2,33,2,2,1,1,2,2
3,1,145,29,71,1,2,1600,1,1,1,1,2,24,2,2,13,2,0,1,1,1,2
3,8,6,480,14,1,2,3790,1,2,1,1,2,12,3,3,7,1,0,1,1,2,0
3,1,64,1236,55,1,2,1500,0,1,1,1,2,12,2,1,6,1,0,1,1,1,0
3,2,113,1548,80,1,2,1800,3,2,1,1,2,3,5,3,17,2,0,1,1,2,0
3,2,113,519,57,1,2,1800,0,1,1,1,2,0,2,1,17,2,0,1,1,2,0
3,17,69,1092,15,1,2,1100,3,3,1,1,2,12,3,2,15,0,0,0,0,0,0
3,15,112,572,40,1,2,6000,1,1,0,1,2,36,3,3,6,1,0,1,1,2,0
3,7,61,167,23,1,2,2400,0,2,0,1,2,0,2,3,5,1,0,1,1,1,0
3,1,64,1052,57,1,2,1100,0,1,1,1,2,12,2,-2,11,2,0,1,1,2,0
3,12,78,549,98,1,2,1300,0,2,2,1,2,0,2,2,4,1,0,1,1,1,2
3,16,157,1560,15,1,2,3000,1,1,0,1,2,0,2,3,6,1,0,1,1,2,2
3,1,2,1275,18,1,2,1880,3,4,1,1,2,12,3,3,6,1,2,1,1,2,0
3,2,116,343,43,1,6,1600,1,1,1,1,2,0,2,1,5,1,0,1,1,2,0
3,16,43,96,50,1,2,9300,1,1,1,1,2,12,3,3,1,1,0,1,1,2,2
3,15,13,1386,27,1,2,5500,1,1,0,1,2,24,2,2,6,1,0,1,1,1,0
3,15,76,106,25,1,2,6800,0,1,1,1,2,0,2,3,31,2,0,1,1,2,2
3,1,145,745,129,1,2,1000,1,3,2,2,2,24,2,2,6,1,0,1,1,1,0
3,1,64,118,49,1,2,1800,0,2,2,1,2,0,2,1,5,1,0,1,1,2,2
3,16,164,664,32,1,2,5200,0,1,0,1,2,0,2,1,6,1,0,1,1,1,0
3,16,97,255,84,1,1,9300,1,2,2,1,2,12,3,2,30,2,0,1,1,1,0
3,15,112,739,42,1,2,6000,1,1,1,1,2,12,2,3,6,1,0,1,1,2,2
3,8,56,1517,53,1,2,4500,0,2,1,1,2,0,2,2,6,1,0,1,1,2,0
3,8,19,1341,23,1,2,2400,3,3,1,3,2,12,3,3,35,2,0,1,1,2,0
3,8,19,1341,24,1,2,2600,3,3,1,3,2,12,3,1,35,2,0,1,1,2,0
3,1,135,1190,6,1,4,2290,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
3,1,64,928,57,1,2,1800,0,2,1,1,2,0,5,3,5,1,0,1,1,2,0
3,17,63,1174,15,1,4,1499,3,3,0,3,2,24,3,2,5,2,0,1,1,2,0
3,10,65,1350,81,1,2,1400,0,2,1,1,2,0,2,3,8,1,0,0,0,0,0
3,1,79,1348,25,1,2,2100,5,1,0,1,2,12,3,1,6,1,2,1,1,1,0
3,11,39,1232,44,1,2,3300,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
3,1,88,855,20,1,2,1700,3,4,1,1,2,12,3,1,14,2,2,2,2,1,0
3,1,125,1503,20,1,2,1800,0,1,1,1,2,0,2,3,4,1,0,1,1,1,0
3,8,119,23,28,1,2,3800,1,1,0,1,2,12,2,3,5,1,0,1,1,1,0
3,1,88,855,12,1,2,1300,3,3,1,1,2,12,3,3,14,2,2,2,2,1,0
3,1,64,949,59,1,2,1800,0,1,1,1,2,0,2,1,6,1,0,1,1,2,1
3,8,19,1341,22,1,2,2700,3,2,1,1,2,12,3,2,35,2,0,1,1,2,0
3,8,19,1341,25,1,2,2800,3,4,1,4,2,12,3,3,30,2,0,1,1,2,0
3,1,2,636,17,1,2,1400,1,3,0,2,2,24,3,2,6,1,2,1,1,1,0
3,16,1,1300,31,1,2,3600,1,1,0,1,2,24,2,3,7,1,0,1,1,1,0
3,1,2,636,23,1,2,1800,1,3,0,2,2,24,3,2,6,1,2,1,1,1,0
3,1,64,928,79,1,2,1100,0,1,1,1,2,0,2,3,14,2,0,1,1,1,0
3,1,52,1268,65,1,2,2000,1,2,1,1,2,12,2,2,5,1,0,1,1,1,0
3,1,2,636,18,1,2,1450,1,3,0,2,2,24,3,2,6,1,2,1,1,1,0
3,1,2,636,18,1,2,1600,3,3,1,1,2,12,3,1,16,2,2,1,1,1,0
3,1,2,636,16,1,2,1950,1,4,1,4,2,24,3,2,6,1,2,1,1,1,2
3,6,84,634,54,1,0,1000,0,1,1,1,0,0,0,3,21,1,0,1,1,1,0
3,16,43,824,44,1,6,7600,1,2,0,1,2,12,2,2,5,1,0,1,1,1,0
3,1,138,1369,12,1,4,1300,3,3,1,1,2,12,3,1,17,2,2,2,2,1,2
3,1,2,636,18,1,2,1700,3,1,0,0,2,12,3,2,18,2,0,1,1,1,0
3,15,112,1448,59,1,2,6800,1,2,0,1,2,12,2,2,24,2,0,1,1,2,2
3,16,104,555,107,1,2,9500,1,2,2,2,2,24,2,2,22,2,0,1,1,2,2
3,1,72,337,15,1,4,1350,3,4,1,2,2,12,3,1,6,2,2,1,1,1,0
3,17,98,599,12,1,4,1200,3,5,2,2,2,12,3,3,6,0,0,0,0,0,0
3,8,5,186,69,1,2,4300,1,2,1,1,2,12,2,3,6,1,0,0,0,2,0
3,1,59,883,87,1,2,1900,0,2,2,1,2,0,2,2,13,2,0,1,1,2,2
3,1,2,1030,22,1,2,2250,3,3,1,1,2,12,3,2,11,2,2,1,1,2,0
3,11,33,1504,31,1,2,3000,0,1,0,1,2,0,2,3,5,1,0,1,1,1,0
3,15,115,769,52,1,2,6000,1,2,1,1,2,12,2,3,6,1,0,1,1,2,2
3,2,53,1528,31,1,2,1590,3,1,1,1,2,12,3,1,8,2,2,2,2,1,2
3,16,164,1131,55,1,1,6000,1,1,1,1,1,12,2,2,25,2,0,1,1,1,0
3,16,43,437,46,1,2,8500,1,1,1,1,1,12,2,2,5,1,0,1,1,1,0
3,2,36,1408,10,1,7,1600,3,3,1,1,2,12,3,3,6,1,2,1,1,1,2
3,16,157,1460,41,1,6,4700,1,1,1,1,2,12,2,3,6,1,0,1,1,2,2
3,16,26,268,65,1,2,9500,1,2,1,1,1,12,2,2,22,2,0,1,1,2,0
3,16,43,1569,40,1,2,7500,1,1,0,1,2,24,2,3,6,1,0,1,1,1,0
3,1,110,876,48,1,2,1200,0,1,1,1,2,0,2,-2,4,1,0,1,1,1,0
3,11,39,881,30,1,2,2700,3,1,1,1,2,12,3,2,11,2,0,1,1,2,0
3,15,76,4,40,1,3,6200,1,1,1,1,2,12,2,2,29,2,0,1,1,1,1
3,16,1,258,44,1,2,4500,0,2,0,1,2,0,2,3,7,1,0,1,1,1,0
3,8,19,1341,25,1,2,2800,3,3,1,3,2,12,3,3,35,2,0,1,1,2,0
3,16,26,455,37,1,2,5600,1,1,1,1,2,12,2,3,7,2,0,1,1,2,2
3,12,78,1180,92,1,2,1500,0,2,1,1,2,0,2,2,5,1,0,1,1,1,0
3,15,112,1204,34,1,4,4000,1,1,0,1,2,24,2,3,6,1,0,1,1,2,2
3,15,13,320,32,1,7,4500,1,1,1,1,2,24,2,3,2,1,0,0,0,0,0
3,8,19,1341,26,1,4,2500,3,4,0,4,2,12,3,3,35,2,2,1,1,2,1
3,8,6,160,41,1,2,4200,1,1,1,1,1,24,2,3,6,1,0,1,1,2,0
3,8,19,1341,17,1,2,2350,3,3,1,2,2,12,3,3,25,2,1,1,1,2,1
3,11,33,463,53,1,2,2800,0,1,0,1,2,0,5,3,5,1,0,1,1,1,0
3,6,84,1570,51,1,2,1300,0,1,1,1,2,0,2,1,10,1,0,1,1,1,0
3,8,129,1118,41,1,2,4000,1,1,1,1,2,36,3,3,6,1,2,1,1,2,2
3,1,52,1127,53,1,2,2000,0,1,1,1,2,24,5,3,4,1,0,1,1,1,0
3,15,76,760,52,1,2,6000,0,1,1,1,2,0,2,2,25,2,0,1,1,2,0
3,8,31,1303,44,1,2,3400,0,1,1,1,2,0,5,2,6,1,0,1,1,1,0
3,12,34,851,64,1,2,1600,0,2,1,1,2,0,2,3,6,1,0,1,1,1,0
3,8,6,1219,30,1,2,3000,3,3,1,2,2,12,3,2,30,2,2,1,1,2,2
3,11,160,672,13,1,2,2990,1,3,1,1,2,12,3,2,26,2,0,1,1,2,0
3,6,67,1200,68,1,2,1200,0,1,2,1,2,0,2,2,24,1,0,0,0,0,0
3,16,132,55,84,1,2,8500,1,2,1,1,2,36,2,1,20,2,0,1,1,1,0
3,16,26,268,64,1,6,9500,1,2,1,1,2,12,2,1,32,2,0,1,1,2,0
3,1,64,1533,104,1,2,2000,0,2,2,1,2,0,2,2,6,1,0,1,1,2,2
3,1,64,858,56,1,2,1900,1,1,1,1,2,12,2,3,17,1,0,2,2,1,0
3,11,58,1179,10,1,2,1750,3,3,1,1,2,12,3,3,34,2,0,1,1,1,0
3,15,112,572,26,1,4,5200,1,1,1,1,2,12,2,1,15,2,0,1,1,2,0
3,16,26,1124,42,1,4,6300,0,1,1,1,2,0,2,3,15,2,0,1,1,2,0
3,1,2,1030,22,1,2,2000,3,3,1,3,2,12,3,2,6,1,2,1,1,2,0
3,1,2,1030,18,1,2,1950,3,3,1,1,2,12,3,2,11,2,2,1,1,2,0
3,1,81,595,14,1,2,2300,1,3,1,2,2,12,3,1,6,1,2,1,1,1,0
3,8,129,976,39,1,2,4500,0,1,1,1,2,0,2,3,6,1,0,1,1,2,2
3,16,26,268,69,1,2,9000,1,2,1,1,2,24,2,3,18,2,0,1,1,2,0
3,16,132,282,42,1,2,5300,1,1,1,1,2,24,2,3,6,1,0,1,1,1,0
3,16,1,590,60,1,2,6500,1,2,1,1,1,12,2,3,7,1,0,1,1,2,2
3,15,112,572,38,1,2,5100,1,1,0,1,2,36,2,3,6,1,0,1,1,2,0
3,16,87,280,54,1,2,7200,1,1,1,1,2,12,2,3,23,2,0,1,1,1,0
3,8,144,788,17,1,2,2400,3,3,1,2,2,12,3,3,4,1,1,1,1,1,1
3,15,112,1204,48,1,2,5800,1,2,1,1,2,12,2,1,6,1,0,1,1,2,2
3,8,129,853,38,1,2,4490,1,1,1,1,2,12,3,3,6,1,0,1,1,2,0
3,1,52,1049,53,1,2,1300,0,1,1,1,2,0,2,2,4,1,0,1,1,1,0
3,8,144,461,40,1,2,4500,0,1,1,1,2,0,5,2,6,1,0,1,1,2,2
3,15,112,645,21,1,3,3600,1,1,1,1,2,24,2,2,7,1,0,1,1,2,2
3,1,64,178,55,1,2,1100,0,1,1,1,2,0,2,3,5,1,0,1,1,1,0
3,1,72,215,52,1,2,2200,0,2,1,1,2,0,2,1,5,1,0,1,1,1,0
3,8,129,916,8,1,4,2290,1,3,1,1,2,12,3,3,6,1,2,1,1,2,0
3,8,42,687,15,1,2,1800,0,1,0,0,2,0,2,1,29,1,0,1,1,2,2
3,1,121,117,25,1,2,2150,0,1,1,1,2,0,2,3,3,1,0,0,0,0,0
3,8,144,327,16,1,2,3590,1,4,1,2,2,12,3,3,14,2,0,1,1,2,0
3,8,19,1056,35,1,2,3600,3,1,0,1,2,12,3,1,17,2,2,1,1,1,2
3,13,86,288,35,1,2,3500,0,1,1,1,2,0,2,3,7,1,0,1,1,1,0
3,8,5,1447,40,1,2,3500,0,1,1,1,2,0,2,2,6,1,0,1,1,2,2
3,14,14,138,9,1,4,2290,1,3,1,1,2,12,3,3,6,1,0,1,1,2,0
3,6,67,60,80,1,2,1450,0,2,1,1,2,0,2,3,6,1,0,1,1,1,0
3,8,56,1517,53,1,2,4500,0,2,0,1,2,0,2,3,6,1,0,1,1,2,0
3,14,14,138,10,1,4,2330,1,4,1,2,2,12,3,1,26,1,0,1,1,2,0
3,16,1,333,12,1,2,2890,1,3,1,1,2,12,3,2,30,2,0,1,1,2,0
3,11,160,1020,27,1,2,3300,1,1,0,1,1,12,2,3,6,1,0,1,1,2,0
3,1,64,118,55,1,2,1500,0,2,1,1,2,0,2,3,5,1,0,1,1,2,2
3,8,148,232,40,1,2,3200,1,1,1,1,2,12,3,2,6,1,0,1,1,1,0
3,7,158,1582,20,1,2,2900,3,1,1,1,2,12,3,2,5,2,0,1,1,2,2
3,8,6,749,40,1,6,4500,1,1,1,1,1,12,2,3,6,1,0,1,1,2,0
3,8,6,480,28,1,7,3700,3,1,1,1,2,12,3,3,7,1,2,1,1,1,0
3,16,164,102,63,1,2,8500,1,1,1,1,2,24,2,1,33,2,0,1,1,2,0
3,1,82,516,20,1,2,2300,5,4,1,4,2,12,3,3,6,1,0,1,1,2,0
3,15,13,372,40,1,2,6100,1,1,1,1,2,12,2,2,4,1,0,1,1,1,0
3,13,57,867,40,1,2,3500,0,1,0,1,2,0,2,1,6,1,0,1,1,1,0
3,1,64,492,58,1,2,1000,0,1,1,1,2,0,2,1,18,2,0,1,1,2,1
3,10,65,988,81,1,2,1600,0,2,2,1,2,0,2,1,7,1,0,1,1,1,0
3,15,115,1206,38,1,2,4800,3,1,1,1,2,12,3,2,36,2,2,1,1,2,2
3,16,156,1034,52,1,2,6000,0,2,1,1,1,0,2,3,6,1,0,1,1,1,0
3,8,31,818,47,1,2,3200,0,1,1,1,2,0,2,3,6,1,0,1,1,1,0
3,1,64,242,91,1,2,1700,0,2,2,1,2,0,2,1,18,2,0,1,1,1,0
3,13,57,486,13,1,2,3190,1,3,1,1,2,12,3,1,6,2,0,1,1,2,0
3,1,64,899,90,1,2,2200,0,3,1,1,2,0,2,3,6,1,0,1,1,1,0
3,13,86,385,20,1,2,3000,1,1,0,1,2,24,2,3,5,1,0,1,1,1,0
3,8,144,327,16,1,2,3490,1,4,1,2,2,12,3,1,17,1,0,1,1,2,0
